Year,Month,Day,Time,TempK
2023,1,3,7:55,262.04
2023,1,3,7:35,262.04
2023,1,3,7:15,262.04
2023,1,3,6:55,262.04
2023,1,3,6:35,262.04
2023,1,3,6:15,262.04
2023,1,3,5:55,262.04
2023,1,3,5:35,262.04
2023,1,3,5:15,262.04
2023,1,3,4:55,262.04
2023,1,3,4:35,262.04
2023,1,3,4:15,263.15
2023,1,3,3:55,263.15
2023,1,3,3:35,263.15
2023,1,3,3:15,263.15
2023,1,3,2:55,263.15
2023,1,3,2:35,263.15
2023,1,3,2:15,263.15
2023,1,3,1:55,263.15
2023,1,3,1:35,263.15
2023,1,3,1:15,264.26
2023,1,3,0:55,264.26
2023,1,3,0:35,264.26
2023,1,3,0:15,264.26
2023,1,2,23:55,264.26
2023,1,2,23:35,264.26
2023,1,2,23:15,264.26
2023,1,2,22:55,264.26
2023,1,2,22:35,264.26
2023,1,2,22:15,264.26
2023,1,2,21:55,264.26
2023,1,2,21:35,264.26
2023,1,2,21:15,264.26
2023,1,2,20:55,264.26
2023,1,2,20:35,265.37
2023,1,2,20:15,265.37
2023,1,2,19:55,265.37
2023,1,2,19:35,265.37
2023,1,2,19:15,265.37
2023,1,2,18:55,265.37
2023,1,2,18:35,265.37
2023,1,2,18:15,265.37
2023,1,2,17:55,265.37
2023,1,2,17:35,265.37
2023,1,2,17:15,265.93
2023,1,2,16:55,265.93
2023,1,2,16:35,265.93
2023,1,2,16:15,265.93
2023,1,2,15:55,265.93
2023,1,2,15:35,265.93
2023,1,2,15:15,265.93
2023,1,2,14:55,265.93
2023,1,2,14:35,265.93
2023,1,2,14:15,265.37
2023,1,2,13:55,265.37
2023,1,2,13:35,265.93
2023,1,2,13:15,265.93
2023,1,2,12:55,265.93
2023,1,2,12:35,265.37
2023,1,2,12:15,265.37
2023,1,2,11:55,265.37
2023,1,2,11:35,265.37
2023,1,2,11:15,265.37
2023,1,2,10:55,265.37
2023,1,2,10:35,265.37
2023,1,2,10:15,265.37
2023,1,2,9:55,265.37
2023,1,2,9:35,265.37
2023,1,2,9:15,265.37
2023,1,2,8:55,265.37
2023,1,2,8:35,265.37
2023,1,2,8:15,265.37
2023,1,2,7:55,265.93
2023,1,2,7:35,265.93
2023,1,2,7:15,265.93
2023,1,2,6:55,265.93
2023,1,2,6:35,265.93
2023,1,2,6:15,265.93
2023,1,2,5:55,267.04
2023,1,2,5:35,267.04
2023,1,2,5:15,267.04
2023,1,2,4:55,267.04
2023,1,2,4:35,267.04
2023,1,2,4:15,267.04
2023,1,2,3:55,267.04
2023,1,2,3:35,267.04
2023,1,2,3:15,267.04
2023,1,2,2:55,267.04
2023,1,2,2:35,267.04
2023,1,2,2:15,267.04
2023,1,2,1:55,267.04
2023,1,2,1:35,267.04
2023,1,2,1:15,267.04
2023,1,2,0:55,267.04
2023,1,2,0:35,268.15
2023,1,2,0:15,268.15
2023,1,1,23:55,268.15
2023,1,1,23:35,268.15
2023,1,1,23:15,268.15
2023,1,1,22:55,268.15
2023,1,1,22:35,268.15
2023,1,1,22:15,268.15
2023,1,1,21:55,268.15
2023,1,1,21:35,268.15
2023,1,1,21:15,269.26
2023,1,1,20:55,269.26
2023,1,1,20:35,269.26
2023,1,1,20:15,269.26
2023,1,1,19:55,269.26
2023,1,1,19:35,269.26
2023,1,1,19:15,269.26
2023,1,1,18:55,269.26
2023,1,1,18:35,269.26
2023,1,1,18:15,269.26
2023,1,1,17:55,269.26
2023,1,1,17:35,269.26
2023,1,1,17:15,270.37
2023,1,1,16:55,270.37
2023,1,1,16:35,270.37
2023,1,1,16:15,270.37
2023,1,1,15:55,270.37
2023,1,1,15:35,270.37
2023,1,1,15:15,270.37
2023,1,1,14:55,270.37
2023,1,1,14:35,270.37
2023,1,1,14:15,270.37
2023,1,1,13:55,270.37
2023,1,1,13:35,270.37
2023,1,1,13:15,270.37
2023,1,1,12:55,270.37
2023,1,1,12:35,270.37
2023,1,1,12:15,270.37
2023,1,1,11:55,270.37
2023,1,1,11:35,270.37
2023,1,1,11:15,270.37
2023,1,1,10:55,270.37
2023,1,1,10:35,270.37
2023,1,1,10:15,270.37
2023,1,1,9:55,270.93
2023,1,1,9:35,270.93
2023,1,1,9:15,270.93
2023,1,1,8:55,270.93
2023,1,1,8:35,270.93
2023,1,1,8:15,270.93
2023,1,1,7:55,270.93
2023,1,1,7:35,270.93
2023,1,1,7:15,270.93
2023,1,1,6:55,270.93
2023,1,1,6:35,270.93
2023,1,1,6:15,270.93
2023,1,1,5:55,270.93
2023,1,1,5:35,270.93
2023,1,1,5:15,270.93
2023,1,1,4:55,270.93
2023,1,1,4:35,270.93
2023,1,1,4:15,270.93
2023,1,1,3:55,270.93
2023,1,1,3:35,270.93
2023,1,1,3:15,270.93
2023,1,1,2:55,270.93
2023,1,1,2:35,270.93
2023,1,1,2:15,270.37
2023,1,1,1:55,270.37
2023,1,1,1:35,270.37
2023,1,1,1:15,270.37
2023,1,1,0:55,270.37
2023,1,1,0:35,270.37
2023,1,1,0:15,270.37
